Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
56;A Traves Del Armario [HDTV][480p][Cap.101];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;101;56;magnet:?xt=urn:btih:0d696129bbe74cccf6fb0718361d325b50ead8f0;0d696129bbe74cccf6fb0718361d325b50ead8f0;2ef495269b895b735367b08da4e8115bf500c620;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
57;A Traves Del Armario [HDTV][480p][Cap.102];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;102;57;magnet:?xt=urn:btih:85715b0c7f2ffe10a7056fb5b212e16a7ad1b6db;85715b0c7f2ffe10a7056fb5b212e16a7ad1b6db;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
58;A Traves Del Armario [HDTV][480p][Cap.103];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;103;58;magnet:?xt=urn:btih:e93f719b63a7d945e5b5e40c7554dc7b604108ad;e93f719b63a7d945e5b5e40c7554dc7b604108ad;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
59;A Traves Del Armario [HDTV][480p][Cap.104];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;104;59;magnet:?xt=urn:btih:86ef3b8ec27ba524ac70523be3ec5c855a565361;86ef3b8ec27ba524ac70523be3ec5c855a565361;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
60;A Traves Del Armario [HDTV][480p][Cap.105];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;105;60;magnet:?xt=urn:btih:264bf732f2604bd5936d045cab919b8a4c60a4f5;264bf732f2604bd5936d045cab919b8a4c60a4f5;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
61;A Traves Del Armario [HDTV][480p][Cap.106];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;106;61;magnet:?xt=urn:btih:5337bf166709779e9d160be6590c6c1b5a87af06;5337bf166709779e9d160be6590c6c1b5a87af06;b6bf1fda2fb658ca99116194627483a992d8f706;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
62;A Traves Del Armario [HDTV][480p][Cap.107];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;107;62;magnet:?xt=urn:btih:ab2b74e0bebc8691c7e106aa39ec9f5e52a7cc38;ab2b74e0bebc8691c7e106aa39ec9f5e52a7cc38;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
63;A Traves Del Armario [HDTV][480p][Cap.108];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;108;63;magnet:?xt=urn:btih:5bedceb305a33f64c06172a337294b87f08819af;5bedceb305a33f64c06172a337294b87f08819af;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
64;A Traves Del Armario [HDTV][480p][Cap.109];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;109;64;magnet:?xt=urn:btih:17698c842859dad461c0237f9fa027354903b2b3;17698c842859dad461c0237f9fa027354903b2b3;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
65;A Traves Del Armario [HDTV][480p][Cap.110];A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;110;65;magnet:?xt=urn:btih:369d7bebd15b85bbb302893b1bacb6b4509e9167;369d7bebd15b85bbb302893b1bacb6b4509e9167;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
